,season,round,circuit_id,driver,nationality,constructor,grid,podium,driver_points,driver_wins,driver_standings_pos,constructor_points,constructor_wins,constructor_standings_pos,qualifying_time,driver_age,qualifying_time_diff
1468,2018,13,spa,sirotkin,Russian,williams,16,12,0,0,20,4,0,10,-13.045000000000002,22,0.1360000000000099
1460,2018,13,spa,bottas,Finnish,mercedes,19,4,132,0,4,345,5,1,-13.689999999999998,28,-0.644999999999996
1476,2018,13,spa,hulkenberg,German,renault,20,20,52,0,7,82,0,4,-12.872,31,0.8179999999999978
1478,2018,14,monza,raikkonen,Finnish,ferrari,1,2,146,0,3,360,5,2,0.0,38,
1480,2018,14,monza,vettel,German,ferrari,2,4,214,5,2,360,5,2,0.16100000000000136,31,0.16100000000000136
1477,2018,14,monza,hamilton,British,mercedes,3,1,231,5,1,375,5,1,0.17499999999999716,33,0.013999999999995794
1479,2018,14,monza,bottas,Finnish,mercedes,4,3,144,0,4,375,5,1,0.5370000000000061,29,0.362000000000009
1481,2018,14,monza,max_verstappen,Dutch,red_bull,5,5,120,1,5,238,3,3,1.4959999999999951,20,0.958999999999989
1496,2018,14,monza,grosjean,French,haas,6,20,27,0,14,76,0,5,1.8170000000000073,32,0.32100000000001216
1484,2018,14,monza,sainz,Spanish,renault,7,8,30,0,12,82,0,4,1.921999999999997,24,0.10499999999998977
1482,2018,14,monza,ocon,French,force_india,8,6,37,0,11,18,0,9,1.980000000000004,21,0.058000000000006935
1490,2018,14,monza,gasly,French,toro_rosso,9,14,28,0,13,30,0,7,2.2309999999999945,22,0.25099999999999056
1485,2018,14,monza,stroll,Canadian,williams,10,9,4,0,18,4,0,10,2.5079999999999956,19,0.277000000000001
1492,2018,14,monza,kevin_magnussen,Danish,haas,11,16,49,0,8,76,0,5,2.549999999999997,25,0.04200000000000159
1486,2018,14,monza,sirotkin,Russian,williams,12,10,0,0,20,4,0,10,2.6129999999999995,23,0.06300000000000239
1494,2018,14,monza,alonso,Spanish,mclaren,13,18,44,0,9,52,0,6,3.448999999999998,37,0.8359999999999985
1483,2018,14,monza,perez,Mexican,force_india,14,7,40,0,10,18,0,9,2.7690000000000055,28,-0.6799999999999926
1487,2018,14,monza,leclerc,Monegasque,sauber,15,11,13,0,15,19,0,8,2.769999999999996,20,0.000999999999990564
1495,2018,14,monza,brendon_hartley,New Zealander,toro_rosso,16,19,2,0,19,30,0,7,2.8149999999999977,28,0.045000000000001705
1488,2018,14,monza,vandoorne,Belgian,mclaren,17,12,8,0,16,52,0,6,2.966000000000008,26,0.15100000000001046
1491,2018,14,monza,ericsson,Swedish,sauber,18,15,6,0,17,19,0,8,2.929000000000002,28,-0.03700000000000614
1497,2018,15,marina_bay,hamilton,British,mercedes,1,1,256,6,1,415,6,1,0.0,33,
1498,2018,15,marina_bay,max_verstappen,Dutch,red_bull,2,2,130,1,5,248,3,3,0.3190000000000026,20,0.3190000000000026
1499,2018,15,marina_bay,vettel,German,ferrari,3,3,226,5,2,390,5,2,0.6129999999999995,31,0.29399999999999693
1500,2018,15,marina_bay,bottas,Finnish,mercedes,4,4,159,0,4,415,6,1,0.6869999999999976,29,0.07399999999999807
1501,2018,15,marina_bay,raikkonen,Finnish,ferrari,5,5,164,0,3,390,5,2,0.7789999999999964,38,0.09199999999999875
1502,2018,15,marina_bay,ricciardo,Australian,red_bull,6,6,118,2,6,248,3,3,0.9810000000000088,29,0.2020000000000124
1512,2018,15,marina_bay,perez,Mexican,force_india,7,16,46,0,9,32,0,7,1.9699999999999989,28,0.9889999999999901
1511,2018,15,marina_bay,grosjean,French,haas,8,15,27,0,14,76,0,5,2.3049999999999926,32,0.33499999999999375
1516,2018,15,marina_bay,ocon,French,force_india,9,20,45,0,10,32,0,7,2.3500000000000085,21,0.045000000000015916
1506,2018,15,marina_bay,hulkenberg,German,renault,10,10,52,0,7,86,0,4,2.5729999999999933,31,0.22299999999998477
1503,2018,15,marina_bay,alonso,Spanish,mclaren,11,7,44,0,11,52,0,6,2.6259999999999906,37,0.05299999999999727
1504,2018,15,marina_bay,sainz,Spanish,renault,12,8,34,0,12,86,0,4,2.7010000000000076,24,0.07500000000001705
1505,2018,15,marina_bay,leclerc,Monegasque,sauber,13,9,13,0,15,19,0,9,2.7319999999999993,20,0.0309999999999917
1507,2018,15,marina_bay,ericsson,Swedish,sauber,14,11,6,0,18,19,0,9,3.4380000000000024,28,0.7060000000000031
1509,2018,15,marina_bay,gasly,French,toro_rosso,15,13,28,0,13,30,0,8,3.676000000000002,22,0.23799999999999955
1514,2018,15,marina_bay,kevin_magnussen,Danish,haas,16,18,49,0,8,76,0,5,3.629000000000005,25,-0.046999999999997044
1513,2018,15,marina_bay,brendon_hartley,New Zealander,toro_rosso,17,17,2,0,19,30,0,8,3.793999999999997,28,0.16499999999999204
1508,2018,15,marina_bay,vandoorne,Belgian,mclaren,18,12,8,0,16,52,0,6,3.8490000000000038,26,0.05500000000000682
1515,2018,15,marina_bay,sirotkin,Russian,williams,19,19,1,0,20,7,0,10,5.248000000000005,23,1.399000000000001
1510,2018,15,marina_bay,stroll,Canadian,williams,20,14,6,0,17,7,0,10,5.319000000000003,19,0.07099999999999795
1518,2018,16,sochi,bottas,Finnish,mercedes,1,2,171,0,4,452,7,1,0.0,29,
1517,2018,16,sochi,hamilton,British,mercedes,2,1,281,7,1,452,7,1,0.14499999999999602,33,0.14499999999999602
1519,2018,16,sochi,vettel,German,ferrari,3,3,241,5,2,415,5,2,0.5559999999999974,31,0.41100000000000136
1520,2018,16,sochi,raikkonen,Finnish,ferrari,4,4,174,0,3,415,5,2,0.8499999999999943,38,0.29399999999999693
1524,2018,16,sochi,kevin_magnussen,Danish,haas,5,8,49,0,9,76,0,5,1.793999999999997,25,0.9440000000000026
1525,2018,16,sochi,ocon,French,force_india,6,9,45,0,11,32,0,7,2.0259999999999962,22,0.23199999999999932
1523,2018,16,sochi,leclerc,Monegasque,sauber,7,7,15,0,15,21,0,9,2.0319999999999965,20,0.006000000000000227
1526,2018,16,sochi,perez,Mexican,force_india,8,10,46,0,10,32,0,7,2.176000000000002,28,0.14400000000000546
1527,2018,16,sochi,grosjean,French,haas,9,11,27,0,14,76,0,5,2.3170000000000073,32,0.14100000000000534
1529,2018,16,sochi,ericsson,Swedish,sauber,10,13,6,0,18,21,0,9,3.8089999999999975,28,1.4919999999999902
1534,2018,16,sochi,sirotkin,Russian,williams,13,18,1,0,20,7,0,10,4.224999999999994,23,0.4159999999999968
1531,2018,16,sochi,stroll,Canadian,williams,14,15,6,0,17,7,0,10,5.049999999999997,19,0.8250000000000028
1532,2018,16,sochi,vandoorne,Belgian,mclaren,15,16,8,0,16,58,0,6,4.590000000000003,26,-0.45999999999999375
1530,2018,16,sochi,alonso,Spanish,mclaren,16,14,50,0,8,58,0,6,4.11699999999999,37,-0.4730000000000132
1536,2018,16,sochi,brendon_hartley,New Zealander,toro_rosso,20,20,2,0,19,30,0,8,3.6500000000000057,28,-0.46699999999998454
1537,2018,17,suzuka,hamilton,British,mercedes,1,1,306,8,1,495,8,1,0.0,33,
1538,2018,17,suzuka,bottas,Finnish,mercedes,2,2,189,0,3,495,8,1,0.2989999999999924,29,0.2989999999999924
1539,2018,17,suzuka,max_verstappen,Dutch,red_bull,3,3,158,1,5,292,3,3,1.296999999999997,21,0.9980000000000047
1541,2018,17,suzuka,raikkonen,Finnish,ferrari,4,5,186,0,4,442,5,2,1.7609999999999957,38,0.46399999999999864
1544,2018,17,suzuka,grosjean,French,haas,5,8,27,0,14,80,0,5,2.0009999999999906,32,0.23999999999999488
1549,2018,17,suzuka,brendon_hartley,New Zealander,toro_rosso,6,13,2,0,19,30,0,8,2.262999999999991,28,0.26200000000000045
1547,2018,17,suzuka,gasly,French,toro_rosso,7,11,28,0,13,30,0,8,2.3329999999999984,22,0.07000000000000739
1542,2018,17,suzuka,vettel,German,ferrari,8,6,256,5,2,442,5,2,4.432000000000002,31,2.0990000000000038
1543,2018,17,suzuka,perez,Mexican,force_india,9,7,47,0,10,35,0,7,9.468999999999994,28,5.036999999999992
1554,2018,17,suzuka,leclerc,Monegasque,sauber,10,18,21,0,15,27,0,9,2.103999999999999,20,-7.364999999999995
1545,2018,17,suzuka,ocon,French,force_india,11,9,47,0,11,35,0,7,2.3659999999999997,22,0.26200000000000045
1556,2018,17,suzuka,kevin_magnussen,Danish,haas,12,20,53,0,7,80,0,5,2.465999999999994,26,0.09999999999999432
1546,2018,17,suzuka,sainz,Spanish,renault,13,10,38,0,12,91,0,4,2.7299999999999898,24,0.2639999999999958
1553,2018,17,suzuka,stroll,Canadian,williams,14,17,6,0,17,7,0,10,2.9539999999999935,19,0.22400000000000375
1555,2018,17,suzuka,hulkenberg,German,renault,16,19,53,0,8,91,0,4,2.600999999999999,31,-0.35299999999999443
1552,2018,17,suzuka,sirotkin,Russian,williams,17,16,1,0,20,7,0,10,2.6119999999999948,23,0.01099999999999568
1550,2018,17,suzuka,alonso,Spanish,mclaren,18,14,50,0,9,58,0,6,2.8130000000000024,37,0.20100000000000762
1551,2018,17,suzuka,vandoorne,Belgian,mclaren,19,15,8,0,16,58,0,6,3.2809999999999917,26,0.4679999999999893
1548,2018,17,suzuka,ericsson,Swedish,sauber,20,12,6,0,18,27,0,9,3.4529999999999887,28,0.17199999999999704
1559,2018,18,americas,hamilton,British,mercedes,1,3,331,9,1,538,9,1,0.0,33,
1557,2018,18,americas,raikkonen,Finnish,ferrari,2,1,196,0,4,460,5,2,0.07000000000000739,39,0.07000000000000739
1561,2018,18,americas,bottas,Finnish,mercedes,3,5,207,0,3,538,9,1,0.3790000000000049,29,0.3089999999999975
1572,2018,18,americas,ricciardo,Australian,red_bull,4,16,146,2,6,319,3,3,1.257000000000005,29,0.8780000000000001
1560,2018,18,americas,vettel,German,ferrari,5,4,264,5,2,460,5,2,0.06100000000000705,31,-1.195999999999998
1575,2018,18,americas,ocon,French,force_india,6,19,49,0,11,43,0,7,1.9080000000000155,22,1.8470000000000084
1562,2018,18,americas,hulkenberg,German,renault,7,6,53,0,9,92,0,4,1.9780000000000086,31,0.06999999999999318
1573,2018,18,americas,grosjean,French,haas,8,17,31,0,13,84,0,5,2.0130000000000052,32,0.03499999999999659
1571,2018,18,americas,leclerc,Monegasque,sauber,9,15,21,0,15,27,0,9,2.183000000000007,21,0.1700000000000017
1564,2018,18,americas,perez,Mexican,force_india,10,8,53,0,7,43,0,7,2.3569999999999993,28,0.17399999999999238
1563,2018,18,americas,sainz,Spanish,renault,11,7,39,0,12,92,0,4,2.3290000000000077,24,-0.027999999999991587
1576,2018,18,americas,kevin_magnussen,Danish,haas,12,20,53,0,8,84,0,5,2.4950000000000045,26,0.16599999999999682
1574,2018,18,americas,alonso,Spanish,mclaren,13,18,50,0,10,58,0,6,3.057000000000002,37,0.5619999999999976
1569,2018,18,americas,sirotkin,Russian,williams,14,13,1,0,20,7,0,10,3.125,23,0.06799999999999784
1570,2018,18,americas,stroll,Canadian,williams,15,14,6,0,17,7,0,10,3.242999999999995,19,0.117999999999995
1566,2018,18,americas,ericsson,Swedish,sauber,16,10,6,0,18,27,0,9,3.2990000000000066,28,0.056000000000011596
1567,2018,18,americas,vandoorne,Belgian,mclaren,17,11,8,0,16,58,0,6,3.4980000000000047,26,0.19899999999999807
1558,2018,18,americas,max_verstappen,Dutch,red_bull,18,2,173,1,5,319,3,3,2.5289999999999964,21,-0.9690000000000083
1593,2018,19,rodriguez,ricciardo,Australian,red_bull,1,17,146,2,6,337,3,3,0.0,29,
1577,2018,19,rodriguez,max_verstappen,Dutch,red_bull,2,1,191,1,5,337,3,3,0.02599999999999625,21,0.02599999999999625
1580,2018,19,rodriguez,hamilton,British,mercedes,3,4,346,9,1,563,9,1,0.13500000000000512,33,0.10900000000000887
1578,2018,19,rodriguez,vettel,German,ferrari,4,2,276,5,2,497,6,2,0.21099999999999852,31,0.0759999999999934
1581,2018,19,rodriguez,bottas,Finnish,mercedes,5,5,217,0,4,563,9,1,0.40099999999999625,29,0.18999999999999773
1579,2018,19,rodriguez,raikkonen,Finnish,ferrari,6,3,221,1,3,497,6,2,0.570999999999998,39,0.1700000000000017
1582,2018,19,rodriguez,hulkenberg,German,renault,7,6,61,0,7,106,0,4,1.0679999999999978,31,0.4969999999999999
1595,2018,19,rodriguez,sainz,Spanish,renault,8,19,45,0,12,106,0,4,1.3250000000000028,24,0.257000000000005
1583,2018,19,rodriguez,leclerc,Monegasque,sauber,9,7,21,0,15,28,0,9,1.4299999999999926,21,0.10499999999998977
1585,2018,19,rodriguez,ericsson,Swedish,sauber,10,9,7,0,17,28,0,9,1.7540000000000049,28,0.3240000000000123
1587,2018,19,rodriguez,ocon,French,force_india,11,11,49,0,11,47,0,7,2.0849999999999937,22,0.33099999999998886
1596,2018,19,rodriguez,alonso,Spanish,mclaren,12,20,50,0,10,58,0,6,2.1119999999999948,37,0.027000000000001023
1594,2018,19,rodriguez,perez,Mexican,force_india,13,18,57,0,8,47,0,7,2.4080000000000013,28,0.2960000000000065
1590,2018,19,rodriguez,brendon_hartley,New Zealander,toro_rosso,14,14,4,0,19,32,0,8,2.424999999999997,28,0.016999999999995907
1584,2018,19,rodriguez,vandoorne,Belgian,mclaren,15,8,8,0,16,58,0,6,2.207000000000008,26,-0.2179999999999893
1591,2018,19,rodriguez,kevin_magnussen,Danish,haas,16,15,53,0,9,84,0,5,2.8400000000000034,26,0.6329999999999956
1588,2018,19,rodriguez,stroll,Canadian,williams,17,12,6,0,18,7,0,10,2.9299999999999926,19,0.0899999999999892
1592,2018,19,rodriguez,grosjean,French,haas,18,16,31,0,13,84,0,5,2.152000000000001,32,-0.7779999999999916
1589,2018,19,rodriguez,sirotkin,Russian,williams,19,13,1,0,20,7,0,10,3.1269999999999953,23,0.9749999999999943
1597,2018,20,interlagos,hamilton,British,mercedes,1,1,358,9,1,585,9,1,0.0,33,
1602,2018,20,interlagos,vettel,German,ferrari,2,6,294,5,2,530,6,2,0.09299999999998931,31,0.09299999999998931
1601,2018,20,interlagos,bottas,Finnish,mercedes,3,5,227,0,4,585,9,1,0.1599999999999966,29,0.06700000000000728
1599,2018,20,interlagos,raikkonen,Finnish,ferrari,4,3,236,1,3,530,6,2,0.17499999999999716,39,0.015000000000000568
1598,2018,20,interlagos,max_verstappen,Dutch,red_bull,5,2,216,2,5,362,4,3,0.4969999999999999,21,0.32200000000000273
1616,2018,20,interlagos,ericsson,Swedish,sauber,6,20,9,0,17,36,0,8,1.0149999999999864,28,0.5179999999999865
1603,2018,20,interlagos,leclerc,Monegasque,sauber,7,7,27,0,15,36,0,8,1.2109999999999985,21,0.19600000000001216
1604,2018,20,interlagos,grosjean,French,haas,8,8,31,0,13,84,0,5,1.23599999999999,32,0.024999999999991473
1609,2018,20,interlagos,gasly,French,toro_rosso,9,13,29,0,14,33,0,9,1.7479999999999905,22,0.5120000000000005
1605,2018,20,interlagos,kevin_magnussen,Danish,haas,10,9,53,0,9,84,0,5,1.3780000000000001,26,-0.36999999999999034
1600,2018,20,interlagos,ricciardo,Australian,red_bull,11,4,146,2,6,362,4,3,0.4989999999999952,29,-0.8790000000000049
1606,2018,20,interlagos,perez,Mexican,force_india,12,10,57,0,8,47,0,7,1.4599999999999937,28,0.9609999999999985
1615,2018,20,interlagos,hulkenberg,German,renault,13,19,69,0,7,114,0,4,1.5529999999999973,31,0.09300000000000352
1612,2018,20,interlagos,sirotkin,Russian,williams,14,16,1,0,20,7,0,10,3.0999999999999943,23,1.546999999999997
1608,2018,20,interlagos,sainz,Spanish,renault,15,12,45,0,12,114,0,4,1.9879999999999995,24,-1.1119999999999948
1607,2018,20,interlagos,brendon_hartley,New Zealander,toro_rosso,16,11,4,0,19,33,0,9,1.9989999999999952,29,0.01099999999999568
1613,2018,20,interlagos,alonso,Spanish,mclaren,17,17,50,0,10,62,0,6,2.120999999999995,37,0.12199999999999989
1611,2018,20,interlagos,ocon,French,force_india,18,15,49,0,11,47,0,7,1.48899999999999,22,-0.632000000000005
1614,2018,20,interlagos,stroll,Canadian,williams,19,18,6,0,18,7,0,10,2.1599999999999966,20,0.6710000000000065
1610,2018,20,interlagos,vandoorne,Belgian,mclaren,20,14,12,0,16,62,0,6,2.319999999999993,26,0.1599999999999966
1617,2018,21,yas_marina,hamilton,British,mercedes,1,1,383,10,1,620,10,1,0.0,33,
1621,2018,21,yas_marina,bottas,Finnish,mercedes,2,5,237,0,4,620,10,1,0.16200000000000614,29,0.16200000000000614
1618,2018,21,yas_marina,vettel,German,ferrari,3,2,302,5,2,553,6,2,0.33100000000000307,31,0.16899999999999693
1635,2018,21,yas_marina,raikkonen,Finnish,ferrari,4,19,251,1,3,553,6,2,0.5710000000000122,39,0.2400000000000091
1620,2018,21,yas_marina,ricciardo,Australian,red_bull,5,4,158,2,6,392,4,3,0.6070000000000135,29,0.036000000000001364
1619,2018,21,yas_marina,max_verstappen,Dutch,red_bull,6,3,234,2,5,392,4,3,0.7950000000000017,21,0.18799999999998818
1625,2018,21,yas_marina,grosjean,French,haas,7,9,35,0,13,90,0,5,1.3980000000000103,32,0.6030000000000086
1623,2018,21,yas_marina,leclerc,Monegasque,sauber,8,7,33,0,14,42,0,8,1.4429999999999978,21,0.044999999999987494
1633,2018,21,yas_marina,ocon,French,force_india,9,17,49,0,11,48,0,7,1.7459999999999951,22,0.30299999999999727
1636,2018,21,yas_marina,hulkenberg,German,renault,10,20,69,0,7,114,0,4,1.7480000000000047,31,0.0020000000000095497
1622,2018,21,yas_marina,sainz,Spanish,renault,11,6,45,0,12,114,0,4,2.1880000000000024,24,0.4399999999999977
1634,2018,21,yas_marina,ericsson,Swedish,sauber,12,18,9,0,17,42,0,8,2.338000000000008,28,0.15000000000000568
1626,2018,21,yas_marina,kevin_magnussen,Danish,haas,13,10,55,0,9,90,0,5,2.5150000000000006,26,0.1769999999999925
1624,2018,21,yas_marina,perez,Mexican,force_india,14,8,58,0,8,48,0,7,2.747,28,0.23199999999999932
1627,2018,21,yas_marina,alonso,Spanish,mclaren,15,11,50,0,10,62,0,6,2.948999999999998,37,0.20199999999999818
1628,2018,21,yas_marina,brendon_hartley,New Zealander,toro_rosso,16,12,4,0,19,33,0,9,3.200000000000003,29,0.2510000000000048
1632,2018,21,yas_marina,gasly,French,toro_rosso,17,16,29,0,15,33,0,9,3.372,22,0.17199999999999704
1630,2018,21,yas_marina,vandoorne,Belgian,mclaren,18,14,12,0,16,62,0,6,3.7830000000000013,26,0.41100000000000136
1631,2018,21,yas_marina,sirotkin,Russian,williams,19,15,1,0,20,7,0,10,3.840999999999994,23,0.057999999999992724
1629,2018,21,yas_marina,stroll,Canadian,williams,20,13,6,0,18,7,0,10,3.8880000000000052,20,0.047000000000011255
1638,2019,1,albert_park,hamilton,British,mercedes,1,2,0,0,0,0,0,0,0.0,34,
1637,2019,1,albert_park,bottas,Finnish,mercedes,2,1,0,0,0,0,0,0,0.11199999999999477,29,0.11199999999999477
1640,2019,1,albert_park,vettel,German,ferrari,3,4,0,0,0,0,0,0,0.7039999999999935,31,0.5919999999999987
1639,2019,1,albert_park,max_verstappen,Dutch,red_bull,4,3,0,0,0,0,0,0,0.833999999999989,21,0.12999999999999545
1641,2019,1,albert_park,leclerc,Monegasque,ferrari,5,5,0,0,0,0,0,0,0.9560000000000031,21,0.1220000000000141
1654,2019,1,albert_park,grosjean,French,haas,6,18,0,0,0,0,0,0,1.3399999999999892,32,0.38399999999998613
1642,2019,1,albert_park,kevin_magnussen,Danish,haas,7,6,0,0,0,0,0,0,1.6129999999999995,26,0.27300000000001035
1648,2019,1,albert_park,norris,British,mclaren,8,12,0,0,0,0,0,0,1.8179999999999978,19,0.2049999999999983
1644,2019,1,albert_park,raikkonen,Finnish,alfa,9,8,0,0,0,0,0,0,1.8279999999999887,39,0.009999999999990905
1649,2019,1,albert_park,perez,Mexican,racing_point,10,13,0,0,0,0,0,0,2.2950000000000017,29,0.46700000000001296
1643,2019,1,albert_park,hulkenberg,German,renault,11,7,0,0,0,0,0,0,2.0759999999999934,31,-0.2190000000000083
1655,2019,1,albert_park,ricciardo,Australian,renault,12,19,0,0,0,0,0,0,2.083999999999989,29,0.007999999999995566
1650,2019,1,albert_park,albon,Thai,toro_rosso,13,14,0,0,0,0,0,0,2.1499999999999915,22,0.0660000000000025
1651,2019,1,albert_park,giovinazzi,Italian,alfa,14,15,0,0,0,0,0,0,2.2279999999999944,25,0.07800000000000296
1646,2019,1,albert_park,kvyat,Russian,toro_rosso,15,10,0,0,0,0,0,0,2.2879999999999967,24,0.060000000000002274
1645,2019,1,albert_park,stroll,Canadian,racing_point,16,9,0,0,0,0,0,0,2.5309999999999917,20,0.242999999999995
1647,2019,1,albert_park,gasly,French,red_bull,17,11,0,0,0,0,0,0,2.533999999999992,23,0.0030000000000001137
1656,2019,1,albert_park,sainz,Spanish,mclaren,18,20,0,0,0,0,0,0,2.597999999999999,24,0.06400000000000716
1652,2019,1,albert_park,russell,British,williams,19,16,0,0,0,0,0,0,3.8739999999999952,21,1.2759999999999962
1653,2019,1,albert_park,kubica,Polish,williams,20,17,0,0,0,0,0,0,5.581000000000003,34,1.7070000000000078
1659,2019,2,bahrain,leclerc,Monegasque,ferrari,1,3,10,0,5,22,0,2,0.0,21,
1661,2019,2,bahrain,vettel,German,ferrari,2,5,12,0,4,22,0,2,0.29399999999999693,31,0.29399999999999693
1657,2019,2,bahrain,hamilton,British,mercedes,3,1,18,0,2,44,1,1,0.32399999999999807,34,0.030000000000001137
1658,2019,2,bahrain,bottas,Finnish,mercedes,4,2,26,1,1,44,1,1,0.39000000000000057,29,0.0660000000000025
1660,2019,2,bahrain,max_verstappen,Dutch,red_bull,5,4,15,0,3,15,0,3,0.8859999999999957,21,0.4959999999999951
1669,2019,2,bahrain,kevin_magnussen,Danish,haas,6,13,8,0,6,8,0,4,0.8910000000000053,26,0.005000000000009663
1675,2019,2,bahrain,sainz,Spanish,mclaren,7,19,0,0,20,0,0,9,0.9470000000000027,24,0.055999999999997385
1663,2019,2,bahrain,raikkonen,Finnish,alfa,8,7,4,0,8,4,0,6,1.1559999999999917,39,0.20899999999998897
1662,2019,2,bahrain,norris,British,mclaren,9,6,0,0,12,0,0,9,1.1770000000000067,19,0.021000000000015007
1674,2019,2,bahrain,ricciardo,Australian,renault,10,18,0,0,19,6,0,5,1.6219999999999999,29,0.4449999999999932
1676,2019,2,bahrain,grosjean,French,haas,11,20,0,0,18,8,0,4,1.149000000000001,32,-0.472999999999999
1665,2019,2,bahrain,albon,Thai,toro_rosso,12,9,0,0,14,1,0,8,1.6470000000000056,23,0.49800000000000466
1664,2019,2,bahrain,gasly,French,red_bull,13,8,0,0,11,15,0,3,1.6599999999999966,23,0.012999999999991019
1666,2019,2,bahrain,perez,Mexican,racing_point,14,10,0,0,13,2,0,7,1.8900000000000006,29,0.23000000000000398
1668,2019,2,bahrain,kvyat,Russian,toro_rosso,15,12,1,0,10,1,0,8,1.9879999999999995,24,0.09799999999999898
1667,2019,2,bahrain,giovinazzi,Italian,alfa,16,11,0,0,15,4,0,6,2.1599999999999966,25,0.17199999999999704
1673,2019,2,bahrain,hulkenberg,German,renault,17,17,6,0,7,6,0,5,2.167999999999992,31,0.007999999999995566
1670,2019,2,bahrain,stroll,Canadian,racing_point,18,14,2,0,9,2,0,7,2.350999999999999,20,0.18300000000000693
1671,2019,2,bahrain,russell,British,williams,19,15,0,0,16,0,0,10,3.8930000000000007,21,1.5420000000000016
1672,2019,2,bahrain,kubica,Polish,williams,20,16,0,0,17,0,0,10,3.933000000000007,34,0.04000000000000625
1678,2019,3,shanghai,bottas,Finnish,mercedes,1,2,44,1,1,87,2,1,0.0,29,
1677,2019,3,shanghai,hamilton,British,mercedes,2,1,43,1,2,87,2,1,0.022999999999996135,34,0.022999999999996135
1679,2019,3,shanghai,vettel,German,ferrari,3,3,22,0,5,48,0,2,0.30100000000000193,31,0.2780000000000058
1681,2019,3,shanghai,leclerc,Monegasque,ferrari,4,5,26,0,4,48,0,2,0.31799999999999784,21,0.016999999999995907
1680,2019,3,shanghai,max_verstappen,Dutch,red_bull,5,4,27,0,3,31,0,3,0.5420000000000016,21,0.22400000000000375
1682,2019,3,shanghai,gasly,French,red_bull,6,6,4,0,10,31,0,3,1.3830000000000098,23,0.8410000000000082
1683,2019,3,shanghai,ricciardo,Australian,renault,7,7,0,0,18,6,0,7,1.4110000000000014,29,0.027999999999991587
1695,2019,3,shanghai,hulkenberg,German,renault,8,20,6,0,9,6,0,7,1.4150000000000063,31,0.0040000000000048885
1694,2019,3,shanghai,kvyat,Russian,toro_rosso,11,19,1,0,13,3,0,8,1.688999999999993,24,0.2739999999999867
1684,2019,3,shanghai,perez,Mexican,racing_point,12,8,1,0,14,3,0,9,1.7520000000000095,29,0.0630000000000166
1685,2019,3,shanghai,raikkonen,Finnish,alfa,13,9,10,0,6,10,0,4,1.8719999999999999,39,0.11999999999999034
1689,2019,3,shanghai,sainz,Spanish,mclaren,14,14,0,0,20,8,0,5,1.975999999999999,24,0.1039999999999992
1693,2019,3,shanghai,norris,British,mclaren,15,18,8,0,7,8,0,5,2.4200000000000017,19,0.4440000000000026
1687,2019,3,shanghai,stroll,Canadian,racing_point,16,12,2,0,12,3,0,9,2.7450000000000045,20,0.32500000000000284
1691,2019,3,shanghai,russell,British,williams,17,16,0,0,16,0,0,10,3.706000000000003,21,0.9609999999999985
1692,2019,3,shanghai,kubica,Polish,williams,18,17,0,0,17,0,0,10,3.734000000000009,34,0.028000000000005798
1696,2019,4,baku,bottas,Finnish,mercedes,1,1,62,1,2,130,3,1,0.0,29,
1697,2019,4,baku,hamilton,British,mercedes,2,2,68,2,1,130,3,1,0.0589999999999975,34,0.0589999999999975
1698,2019,4,baku,vettel,German,ferrari,3,3,37,0,4,73,0,2,0.3019999999999925,31,0.242999999999995
1699,2019,4,baku,max_verstappen,Dutch,red_bull,4,4,39,0,3,52,0,3,0.5739999999999981,21,0.27200000000000557
1701,2019,4,baku,perez,Mexican,racing_point,5,6,5,0,12,7,0,8,1.097999999999999,29,0.5240000000000009
1711,2019,4,baku,kvyat,Russian,toro_rosso,6,19,1,0,15,4,0,9,1.1859999999999928,25,0.08799999999999386
1703,2019,4,baku,norris,British,mclaren,7,8,8,0,8,8,0,7,1.3909999999999911,19,0.2049999999999983
1702,2019,4,baku,sainz,Spanish,mclaren,9,7,0,0,18,8,0,7,1.9029999999999916,24,0.5120000000000005
1712,2019,4,baku,ricciardo,Australian,renault,10,20,6,0,11,12,0,4,1.9819999999999993,29,0.07900000000000773
1705,2019,4,baku,albon,Thai,toro_rosso,11,11,3,0,13,4,0,9,1.9989999999999952,23,0.016999999999995907
1707,2019,4,baku,kevin_magnussen,Danish,haas,12,13,8,0,9,8,0,6,2.2039999999999935,26,0.2049999999999983
1704,2019,4,baku,stroll,Canadian,racing_point,13,9,2,0,14,7,0,8,2.134999999999991,20,-0.06900000000000261
1710,2019,4,baku,grosjean,French,haas,14,18,0,0,17,8,0,6,2.911999999999992,33,0.777000000000001
1708,2019,4,baku,hulkenberg,German,renault,15,14,6,0,10,12,0,4,2.931999999999988,31,0.01999999999999602
1709,2019,4,baku,russell,British,williams,16,15,0,0,19,0,0,10,4.566999999999993,21,1.6350000000000051
1706,2019,4,baku,giovinazzi,Italian,alfa,17,12,0,0,16,12,0,5,1.929000000000002,25,-2.637999999999991
1714,2019,5,catalunya,bottas,Finnish,mercedes,1,2,87,2,1,173,4,1,0.0,29,
1713,2019,5,catalunya,hamilton,British,mercedes,2,1,86,2,2,173,4,1,0.6339999999999861,34,0.6339999999999861
1716,2019,5,catalunya,vettel,German,ferrari,3,4,52,0,3,99,0,2,0.8659999999999854,31,0.23199999999999932
