,season,round,circuit_id,driver,nationality,constructor,grid,podium,driver_points,driver_wins,driver_standings_pos,constructor_points,constructor_wins,constructor_standings_pos,qualifying_time,driver_age,qualifying_time_diff
81,2015,5,catalunya,massa,Brazilian,williams,9,6,31,0,5,61,0,3,2.0760000000000076,34,0.1280000000000001
82,2015,5,catalunya,ricciardo,Australian,red_bull,10,7,19,0,7,23,0,4,2.0889999999999986,25,0.012999999999991019
83,2015,5,catalunya,grosjean,French,lotus_f1,11,8,12,0,9,12,0,6,2.6940000000000026,29,0.605000000000004
94,2015,5,catalunya,maldonado,Venezuelan,lotus_f1,12,19,0,0,20,12,0,6,2.7690000000000055,30,0.07500000000000284
95,2015,5,catalunya,alonso,Spanish,mclaren,13,20,0,0,16,0,0,9,3.0790000000000077,33,0.3100000000000023
91,2015,5,catalunya,button,British,mclaren,14,16,0,0,17,0,0,9,3.173000000000002,35,0.09399999999999409
87,2015,5,catalunya,nasr,Brazilian,sauber,15,12,14,0,8,19,0,5,3.323999999999998,22,0.15099999999999625
89,2015,5,catalunya,ericsson,Swedish,sauber,16,14,5,0,14,19,0,5,3.4309999999999974,24,0.10699999999999932
90,2015,5,catalunya,hulkenberg,German,force_india,17,15,6,0,10,11,0,8,3.6839999999999975,27,0.2530000000000001
88,2015,5,catalunya,perez,Mexican,force_india,18,13,5,0,13,11,0,8,3.76100000000001,25,0.07700000000001239
92,2015,5,catalunya,stevens,British,manor,19,17,0,0,19,0,0,10,6.5190000000000055,23,2.7579999999999956
93,2015,5,catalunya,merhi,Spanish,manor,20,18,0,0,18,0,0,10,7.356999999999999,24,0.8379999999999939
98,2015,6,monaco,hamilton,British,mercedes,1,3,111,3,1,202,4,1,0.0,30,
96,2015,6,monaco,rosberg,German,mercedes,2,1,91,1,2,202,4,1,0.34199999999999875,29,0.34199999999999875
97,2015,6,monaco,vettel,German,ferrari,3,2,80,1,3,132,1,2,0.7510000000000048,27,0.409000000000006
100,2015,6,monaco,ricciardo,Australian,red_bull,4,5,25,0,7,30,0,4,0.9429999999999978,25,0.19199999999999307
