,season,round,Race_url,raceName,Race_date,Race_time,circuitId,Circuit_url,circuitName,Location.lat,Location.long,Location.locality,Location.country,FP_date,FP_time,SP_date,SP_time,TP_date,TP_time,Quali_date,Quali_time,Sprint_date,Sprint_time
94,2023,13,https://en.wikipedia.org/wiki/2023_Dutch_Grand_Prix,Dutch Grand Prix,2023-08-27,13:00:00Z,zandvoort,http://en.wikipedia.org/wiki/Circuit_Zandvoort,Circuit Park Zandvoort,52.3888,4.54092,Zandvoort,Netherlands,2023-08-25,10:30:00Z,2023-08-25,14:00:00Z,2023-08-26,09:30:00Z,2023-08-26,13:00:00Z,,
95,2023,14,https://en.wikipedia.org/wiki/2023_Italian_Grand_Prix,Italian Grand Prix,2023-09-03,13:00:00Z,monza,http://en.wikipedia.org/wiki/Autodromo_Nazionale_Monza,Autodromo Nazionale di Monza,45.6156,9.28111,Monza,Italy,2023-09-01,11:30:00Z,2023-09-01,15:00:00Z,2023-09-02,10:30:00Z,2023-09-02,14:00:00Z,,
96,2023,15,https://en.wikipedia.org/wiki/2023_Singapore_Grand_Prix,Singapore Grand Prix,2023-09-17,12:00:00Z,marina_bay,http://en.wikipedia.org/wiki/Marina_Bay_Street_Circuit,Marina Bay Street Circuit,1.2914,103.864,Marina Bay,Singapore,2023-09-15,09:30:00Z,2023-09-15,13:00:00Z,2023-09-16,09:30:00Z,2023-09-16,13:00:00Z,,
97,2023,16,https://en.wikipedia.org/wiki/2023_Japanese_Grand_Prix,Japanese Grand Prix,2023-09-24,05:00:00Z,suzuka,http://en.wikipedia.org/wiki/Suzuka_Circuit,Suzuka Circuit,34.8431,136.541,Suzuka,Japan,2023-09-22,02:30:00Z,2023-09-22,06:00:00Z,2023-09-23,02:30:00Z,2023-09-23,06:00:00Z,,
98,2023,17,https://en.wikipedia.org/wiki/2023_Qatar_Grand_Prix,Qatar Grand Prix,2023-10-08,14:00:00Z,losail,http://en.wikipedia.org/wiki/Losail_International_Circuit,Losail International Circuit,25.49,51.4542,Al Daayen,Qatar,2023-10-06,10:30:00Z,2023-10-07,10:30:00Z,,,2023-10-06,14:00:00Z,2023-10-07,14:30:00Z
99,2023,18,https://en.wikipedia.org/wiki/2023_United_States_Grand_Prix,United States Grand Prix,2023-10-22,19:00:00Z,americas,http://en.wikipedia.org/wiki/Circuit_of_the_Americas,Circuit of the Americas,30.1328,-97.6411,Austin,USA,2023-10-20,17:30:00Z,2023-10-21,18:00:00Z,,,2023-10-20,21:00:00Z,2023-10-21,22:00:00Z
100,2023,19,https://en.wikipedia.org/wiki/2023_Mexico_City_Grand_Prix,Mexico City Grand Prix,2023-10-29,20:00:00Z,rodriguez,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Hermanos_Rodr%C3%ADguez,Autódromo Hermanos Rodríguez,19.4042,-99.0907,Mexico City,Mexico,2023-10-27,18:30:00Z,2023-10-27,22:00:00Z,2023-10-28,17:30:00Z,2023-10-28,21:00:00Z,,
101,2023,20,https://en.wikipedia.org/wiki/2023_S%C3%A3o_Paulo_Grand_Prix,São Paulo Grand Prix,2023-11-05,17:00:00Z,interlagos,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Jos%C3%A9_Carlos_Pace,Autódromo José Carlos Pace,-23.7036,-46.6997,São Paulo,Brazil,2023-11-03,14:30:00Z,2023-11-04,14:30:00Z,,,2023-11-03,18:00:00Z,2023-11-04,18:30:00Z
102,2023,21,https://en.wikipedia.org/wiki/2023_Las_Vegas_Grand_Prix,Las Vegas Grand Prix,2023-11-19,06:00:00Z,vegas,https://en.wikipedia.org/wiki/Las_Vegas_Grand_Prix#Circuit,Las Vegas Strip Street Circuit,36.1147,-115.173,Las Vegas,United States,2023-11-17,04:30:00Z,2023-11-17,08:00:00Z,2023-11-18,04:30:00Z,2023-11-18,08:00:00Z,,
103,2023,22,https://en.wikipedia.org/wiki/2023_Abu_Dhabi_Grand_Prix,Abu Dhabi Grand Prix,2023-11-26,13:00:00Z,yas_marina,http://en.wikipedia.org/wiki/Yas_Marina_Circuit,Yas Marina Circuit,24.4672,54.6031,Abu Dhabi,UAE,2023-11-24,09:30:00Z,2023-11-24,13:00:00Z,2023-11-25,10:30:00Z,2023-11-25,14:00:00Z,,
